,Date,days hour min sec,Distance 1,Distance 2,Distance 3,keystrokes,left,right,middle,double,wheel,x1 btn,x2 btn,idle days hour min sec
0,2020 abr. 07 23:32:52,0 days 13 hours 17 min 37 sec,1 km,43 m,3 cm,20590,3284,4758,15,2241,6683,0,0,0 days 7 hours 57 min 20 sec
1,2020 abr. 08 00:18:32,0 days 14 hours 3 min 17 sec,1 km,53 m,94 cm,20590,3363,4758,15,2248,6683,0,0,0 days 7 hours 57 min 33 sec
2,2020 abr. 09 00:00:12,0 days 14 hours 54 min 29 sec,0 km,663 m,26 cm,8535,2127,17,5,156,4854,0,0,0 days 0 hours 0 min 0 sec
3,2020 abr. 09 01:34:37,0 days 16 hours 28 min 54 sec,0 km,709 m,74 cm,9293,2314,17,5,167,5078,0,0,0 days 13 hours 25 min 58 sec
4,2020 abr. 10 14:05:30,0 days 2 hours 18 min 9 sec,1 km,316 m,7 cm,3935,3160,3849,1,1886,264,0,0,0 days 10 hours 24 min 27 sec
5,2020 abr. 11 15:32:19,0 days 2 hours 18 min 9 sec,1 km,316 m,7 cm,3935,3160,3849,1,1886,264,0,0,1 days 7 hours 15 min 49 sec
6,2020 abr. 12 00:00:40,0 days 7 hours 59 min 55 sec,0 km,866 m,29 cm,999,322,0,1,23,1090,0,0,0 days 4 hours 13 min 4 sec
7,2020 abr. 13 08:50:57,0 days 19 hours 26 min 4 sec,2 km,52 m,42 cm,5235,3261,3165,2,1728,2865,0,0,0 days 11 hours 11 min 37 sec
8,2020 abr. 13 20:00:19,0 days 10 hours 59 min 8 sec,0 km,722 m,86 cm,9008,2673,19,3,180,9439,0,0,0 days 7 hours 21 min 25 sec
9,2020 abr. 16 19:53:07,0 days 10 hours 52 min 59 sec,0 km,824 m,16 cm,19815,3212,37,1,376,13430,0,0,0 days 5 hours 46 min 25 sec
10,2020 abr. 17 11:16:56,1 days 2 hours 16 min 49 sec,1 km,176 m,38 cm,30029,4277,60,4,454,16733,0,0,0 days 18 hours 18 min 1 sec
11,2020 abr. 18 11:17:26,0 days 14 hours 27 min 48 sec,1 km,34 m,23 cm,33598,3471,5342,3,2712,7708,0,0,0 days 16 hours 51 min 32 sec
12,2020 abr. 19 11:34:18,1 days 0 hours 16 min 45 sec,1 km,256 m,20 cm,16501,2404,6105,9,2788,3802,0,0,0 days 18 hours 19 min 11 sec
13,2020 abr. 20 08:58:00,1 days 11 hours 52 min 46 sec,2 km,567 m,43 cm,28802,5350,14167,14,6469,10552,0,0,0 days 23 hours 53 min 55 sec
14,2020 abr. 20 21:11:19,0 days 12 hours 13 min 12 sec,1 km,9 m,13 cm,17454,3465,14,2,374,13803,0,0,0 days 5 hours 20 min 26 sec
15,2020 abr. 21 18:02:39,1 days 9 hours 4 min 32 sec,1 km,836 m,55 cm,38542,6465,41,5,630,24357,0,0,0 days 20 hours 12 min 0 sec
16,2020 abr. 21 22:51:18,0 days 4 hours 48 min 25 sec,0 km,385 m,28 cm,9805,797,12,4,47,1938,0,0,0 days 1 hours 36 min 33 sec
17,2020 abr. 22 18:40:05,0 days 9 hours 36 min 45 sec,0 km,700 m,18 cm,14765,2312,22,2,186,10222,0,0,0 days 3 hours 44 min 35 sec
18,2020 abr. 23 19:51:16,0 days 10 hours 43 min 59 sec,0 km,673 m,98 cm,13367,2315,25,6,307,8385,0,0,0 days 5 hours 46 min 34 sec
19,2020 abr. 23 23:49:11,0 days 3 hours 57 min 49 sec,0 km,432 m,28 cm,117,105,1,0,5,761,0,0,0 days 1 hours 43 min 18 sec
20,2020 abr. 26 04:13:35,0 days 16 hours 28 min 59 sec,1 km,804 m,93 cm,16972,2665,16831,7,7365,5068,0,0,0 days 9 hours 28 min 28 sec
21,2020 abr. 27 11:36:58,1 days 15 hours 13 min 21 sec,3 km,71 m,98 cm,22095,5260,17503,12,7827,8054,0,0,1 days 3 hours 50 min 41 sec
22,2020 abr. 29 09:36:48,1 days 21 hours 45 min 42 sec,1 km,738 m,13 cm,32660,6168,41,21,603,21236,0,0,1 days 7 hours 50 min 36 sec
23,2020 abr. 29 18:05:49,0 days 8 hours 28 min 39 sec,0 km,686 m,32 cm,10131,2562,15,8,216,8526,0,0,0 days 3 hours 13 min 1 sec
24,2020 abr. 29 23:22:41,0 days 5 hours 16 min 47 sec,0 km,657 m,29 cm,3018,1919,1015,1,623,891,0,0,0 days 3 hours 35 min 24 sec
25,2020 may. 01 19:37:22,0 days 18 hours 24 min 58 sec,1 km,727 m,9 cm,15987,3192,24,7,215,7099,0,0,1 days 0 hours 26 min 8 sec
26,2020 may. 04 09:01:59,1 days 10 hours 56 min 22 sec,4 km,431 m,86 cm,15764,7450,5774,2,2527,5661,0,0,1 days 22 hours 23 min 15 sec
27,2020 may. 05 15:16:24,1 days 6 hours 14 min 20 sec,1 km,785 m,67 cm,28378,5431,507,8,526,18420,0,0,0 days 18 hours 34 min 59 sec
28,2020 may. 06 00:00:25,1 days 14 hours 58 min 20 sec,2 km,314 m,93 cm,39928,7081,511,9,655,24848,0,0,0 days 22 hours 48 min 5 sec
29,2020 may. 06 22:33:36,0 days 13 hours 35 min 31 sec,0 km,908 m,33 cm,15677,3555,7,7,336,10105,0,0,0 days 8 hours 8 min 43 sec
30,2020 may. 07 08:40:20,0 days 13 hours 35 min 50 sec,0 km,909 m,97 cm,15677,3560,8,7,336,10105,0,0,0 days 18 hours 13 min 20 sec
31,2020 may. 08 08:54:30,1 days 0 hours 9 min 38 sec,0 km,795 m,20 cm,13395,2812,15,7,233,11002,0,0,0 days 18 hours 4 min 43 sec
32,2020 may. 08 22:22:18,1 days 13 hours 37 min 26 sec,1 km,818 m,4 cm,26109,5745,31,10,450,21752,0,0,1 days 0 hours 5 min 17 sec
33,2020 may. 09 00:00:31,0 days 1 hours 38 min 5 sec,0 km,69 m,38 cm,600,85,0,0,4,97,0,0,0 days 1 hours 9 min 28 sec
34,2020 may. 09 13:22:19,0 days 4 hours 15 min 25 sec,1 km,22 m,3 cm,4784,1854,1486,4,589,1841,0,0,0 days 12 hours 22 min 39 sec
35,2020 may. 10 00:00:38,0 days 10 hours 38 min 12 sec,2 km,188 m,0 cm,7322,5898,1953,3,1589,3233,0,0,0 days 4 hours 35 min 48 sec
36,2020 may. 11 08:53:46,0 days 12 hours 52 min 25 sec,1 km,277 m,5 cm,6240,2496,1228,0,675,2170,0,0,0 days 17 hours 37 min 12 sec
37,2020 may. 12 00:08:39,0 days 15 hours 9 min 59 sec,1 km,88 m,49 cm,17972,3751,26,2,345,11072,0,0,0 days 7 hours 12 min 50 sec
38,2020 may. 13 09:05:17,1 days 9 hours 28 min 33 sec,1 km,741 m,16 cm,28023,5997,32,3,527,22165,0,0,0 days 20 hours 37 min 34 sec
