Date,Active time,Distance,Keystrokes,Left clicks,Right clicks,Middle clicks,Double clicks,Wheel turn,Idle time
2020-04-07 23:32:52,47857,104303,20590,3284,4758,15,2241,6683,28640
2020-04-08 00:18:32,50597,105394,20590,3363,4758,15,2248,6683,28653
2020-04-09 00:00:12,53669,66326,8535,2127,17,5,156,4854,0
2020-04-09 01:34:37,59334,70974,9293,2314,17,5,167,5078,48358
2020-04-10 14:05:30,8289,131607,3935,3160,3849,1,1886,264,37467
2020-04-11 15:32:19,8289,131607,3935,3160,3849,1,1886,264,112549
2020-04-12 00:00:40,28795,86629,999,322,0,1,23,1090,15184
2020-04-13 08:50:57,69964,205242,5235,3261,3165,2,1728,2865,40297
2020-04-13 20:00:19,39548,72286,9008,2673,19,3,180,9439,26485
2020-04-16 19:53:07,39179,82416,19815,3212,37,1,376,13430,20785
2020-04-17 11:16:56,94609,117638,30029,4277,60,4,454,16733,65881
2020-04-18 11:17:26,52068,103423,33598,3471,5342,3,2712,7708,60692
2020-04-19 11:34:18,87405,125620,16501,2404,6105,9,2788,3802,65951
2020-04-20 08:58:00,129166,256743,28802,5350,14167,14,6469,10552,86035
2020-04-20 21:11:19,43992,100913,17454,3465,14,2,374,13803,19226
2020-04-21 18:02:39,119072,183655,38542,6465,41,5,630,24357,72720
2020-04-21 22:51:18,17305,38528,9805,797,12,4,47,1938,5793
2020-04-22 18:40:05,34605,70018,14765,2312,22,2,186,10222,13475
2020-04-23 19:51:16,38639,67398,13367,2315,25,6,307,8385,20794
2020-04-23 23:49:11,14269,43228,117,105,1,0,5,761,6198
2020-04-26 04:13:35,59339,180493,16972,2665,16831,7,7365,5068,34108
2020-04-27 11:36:58,141201,307198,22095,5260,17503,12,7827,8054,100241
2020-04-29 09:36:48,164742,173813,32660,6168,41,21,603,21236,114636
2020-04-29 18:05:49,30519,68632,10131,2562,15,8,216,8526,11581
2020-04-29 23:22:41,19007,65729,3018,1919,1015,1,623,891,12924
2020-05-01 19:37:22,66298,172709,15987,3192,24,7,215,7099,87968
2020-05-04 09:01:59,125782,443186,15764,7450,5774,2,2527,5661,166995
2020-05-05 15:16:24,108860,178567,28378,5431,507,8,526,18420,66899
2020-05-06 00:00:25,140300,231493,39928,7081,511,9,655,24848,82085
2020-05-06 22:33:36,48931,90833,15677,3555,7,7,336,10105,29323
2020-05-07 08:40:20,48950,90997,15677,3560,8,7,336,10105,65600
2020-05-08 08:54:30,86978,79520,13395,2812,15,7,233,11002,65083
2020-05-08 22:22:18,135446,181804,26109,5745,31,10,450,21752,86717
2020-05-09 00:00:31,5885,6938,600,85,0,0,4,97,4168
2020-05-09 13:22:19,15325,102203,4784,1854,1486,4,589,1841,44559
2020-05-10 00:00:38,38292,218800,7322,5898,1953,3,1589,3233,16548
2020-05-11 08:53:46,46345,127705,6240,2496,1228,0,675,2170,63432
2020-05-12 00:08:39,54599,108849,17972,3751,26,2,345,11072,25970
2020-05-13 09:05:17,120513,174116,28023,5997,32,3,527,22165,74254
2020-05-14 01:46:31,59854,136211,18474,4234,29,3,539,15801,29854
2020-05-15 00:00:02,139775,362360,48687,9934,5120,5,3242,28387,65433
2020-05-16 00:21:31,196733,446250,63723,12503,5152,13,3417,40175,127581
2020-05-17 00:00:05,281793,550418,65307,13795,5934,13,3774,41841,199093
2020-05-18 00:12:30,16764,113993,6401,2146,1621,0,659,925,8367
2020-05-18 21:51:31,80845,193197,31712,5000,1638,1,844,10282,46907
2020-05-19 00:00:32,88586,215065,34934,5330,1641,1,878,10571,49484
2020-05-20 02:56:31,145767,303682,43273,7813,1653,4,1062,20525,93263
2020-05-21 08:59:15,253854,411394,56350,11590,1665,4,1282,32893,156897
2020-05-22 01:58:32,315011,553625,73087,15564,5754,4,3578,41847,176386
2020-05-23 20:16:54,374987,636253,84795,18509,5806,4,3770,50462,228794
2020-05-24 00:00:54,388426,685026,85348,18509,5806,4,3770,50462,236166
2020-05-25 09:44:25,471986,1063437,103386,18509,5806,4,3770,50462,326961
2020-05-25 20:19:25,37505,110071,7400,1108,3,4,70,4486,13538
2020-05-26 08:04:16,48080,120902,8431,1194,3,4,72,5011,21704
2020-05-27 07:58:51,134154,276892,27906,5857,1169,8,884,15258,77018
2020-05-28 00:00:50,191873,406010,44355,8541,1188,11,1103,26318,101990
